"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"183","F5CAD0EB921711B8","docked_bike","2021-05-05 21:46:41","2021-05-05 22:01:11","W 29 St & 9 Ave",6416.06,"W 54 St & 11 Ave",6955.05,40.750072,-73.998392,40.768333,-73.992573,"member"
"194","49532D33587E3E9E","docked_bike","2021-05-05 22:03:37","2021-05-05 22:10:31","9 Ave & W 22 St",6266.06,"Bank St & Washington St",5964.01,40.745497,-74.001971,40.7361967,-74.00859207,"casual"
"290","F58F15677F930616","docked_bike","2021-05-05 23:47:31","2021-05-05 23:54:50","E 7 St & Avenue A",5626.07,"Bayard St & Baxter St",5351.03,40.726217,-73.983798,40.71602118,-73.99974372,"member"
"500","3D62B65C9F98A509","docked_bike","2021-05-06 06:55:14","2021-05-06 06:59:15","Broadway & W 41 St",6560.01,"W 43 St & 10 Ave",6756.01,40.755135,-73.98658,40.76009437,-73.99461843,"member"
"139","39AD268B16D64448","docked_bike","2021-05-06 07:38:57","2021-05-06 07:49:13","W 129 St & Convent Ave",7818.17,"Pleasant Ave & E 120 St",7579.01,40.814394,-73.953247,40.7974772,-73.9311847,"member"
"471","DBBB07C50BF89EC6","docked_bike","2021-05-06 08:02:54","2021-05-06 08:13:15","E 82 St & East End Ave",7049.04,"E 60 St & York Ave",6682.08,40.77246,-73.94682,40.759107,-73.959223,"member"
"58","3A617497C80DADC4","docked_bike","2021-05-06 08:05:59","2021-05-06 08:07:01","W 26 St & 8 Ave",6297.02,"8 Ave & W 27 St",6297.07,40.747348,-73.997235,40.747968,-73.996637,"member"
"334","3C422263354685E8","docked_bike","2021-05-06 10:09:02","2021-05-06 10:23:05","E 6 St & Avenue D",5506.14,"Pike St & E Broadway",5270.05,40.72228,-73.976687,40.71406667,-73.99293911,"member"
"135","CC25A97405E7B2F1","docked_bike","2021-05-06 11:52:59","2021-05-06 12:25:10","Lawrence St & Willoughby St",4596.09,"W 27 St & 7 Ave",6247.06,40.692361,-73.986317,40.746647,-73.993915,"member"
"446","7FDB6190958CBF2A","docked_bike","2021-05-06 13:44:54","2021-05-06 14:01:50","Bayard St & Baxter St",5351.03,"Columbia St & Rivington St",5365.02,40.716021,-73.999743,40.71739973,-73.98016555,"member"
"309","D37D700C2037E684","docked_bike","2021-05-06 13:54:33","2021-05-06 14:00:22","E 56 St & 3 Ave",6691.11,"E 47 St & Park Ave",6584.12,40.759345,-73.967596,40.75510267,-73.97498696,"member"
"470","3A45D7FD7ACC0164","docked_bike","2021-05-06 14:19:01","2021-05-06 14:49:42","E 109 St & 3 Ave",7504.12,"Broadway & W 155 St",8123.02,40.793296,-73.943208,40.83299,-73.94592,"casual"
"217","0E603F8CAC892207","docked_bike","2021-05-06 14:22:49","2021-05-06 14:42:34","E 11 St & 2 Ave",5746.04,"North Moore St & Greenwich St",5470.12,40.730473,-73.986723,40.7201952143746,-74.0103006362915,"member"
"329","5FFEF5C77E446EC5","docked_bike","2021-05-06 14:36:16","2021-05-06 14:57:13","5 Ave & E 103 St",7511.19,"Columbus Ave & W 72 St",7175.05,40.792255,-73.952499,40.7770575,-73.97898475,"casual"
"314","1AA66A1B88EAEF26","docked_bike","2021-05-06 14:54:38","2021-05-06 14:55:42","E 97 St & Madison Ave",7393.09,"Madison Ave & E 99 St",7443.01,40.787801,-73.953559,40.7894854155321,-73.9524292945862,"member"
"3","3DF5EE35E04F5BFB","docked_bike","2021-05-06 15:00:07","2021-05-06 15:08:06","Pleasant Ave & E 116 St",7450.05,"Lenox Ave & W 117 St",7655.22,40.794987,-73.933334,40.8025566,-73.9490782,"member"
"76","00F40862EAC59E4A","docked_bike","2021-05-06 16:12:14","2021-05-06 16:15:46","W 20 St & 7 Ave",6182.02,"W 20 St & 8 Ave",6224.05,40.742387,-73.997262,40.74345335,-74.00004031,"member"
"26","5E864429BA742028","docked_bike","2021-05-06 16:52:47","2021-05-06 16:57:36","5 Ave & E 78 St",7161.08,"Madison Ave & E 82 St",7188.13,40.776321,-73.964273,40.7781314,-73.96069399,"casual"
"141","0D6D8A2D4DCD5ED7","docked_bike","2021-05-06 17:17:27","2021-05-06 17:27:39","E 85 St & 3 Ave",7212.05,"Central Park W & W 91 St",7453.01,40.778012,-73.954071,40.7886649912788,-73.966800570488,"member"
"9","F30501EF4ED03BD5","docked_bike","2021-05-06 17:25:29","2021-05-06 17:33:28","Kent Ave & S 11 St",5062.01,"S 5 Pl & S 5 St",5125.03,40.707644,-73.968415,40.710451,-73.960876,"member"
"236","81C1755FEE352AD8","docked_bike","2021-05-06 17:27:11","2021-05-06 18:10:59","Lispenard St & Broadway",5391.06,"Watts St & Greenwich St",5578.02,40.719392,-74.002472,40.72405549,-74.00965965,"casual"
"320","B4F3BC4A7480F0F4","docked_bike","2021-05-06 17:58:47","2021-05-06 18:07:03","W 84 St & Columbus Ave",7382.04,"Broadway & W 60 St",6948.11,40.784999,-73.972834,40.76915505,-73.98191841,"member"
"250","57EEBBAD4D7E46B5","docked_bike","2021-05-06 18:11:25","2021-05-06 18:16:08","E 47 St & 2 Ave",6498.1,"E 58 St & 3 Ave",6762.02,40.75323,-73.970325,40.76095756,-73.96724467,"member"
"454","2F3EDD71BD4499E0","docked_bike","2021-05-06 20:07:24","2021-05-06 20:22:22","Allen St & Rivington St",5414.06,"1 Ave & E 39 St",6303.01,40.720195,-73.989978,40.74714,-73.97113,"member"
"402","156C0CB15CF843A0","docked_bike","2021-05-06 20:29:53","2021-05-06 20:46:10","Greenwich St & Perry St",5922.04,"E 12 St & Ave C",5616.08,40.73498,-74.00697,40.727243,-73.976831,"member"
"84","D9031FF2CEB49C91","docked_bike","2021-05-06 21:08:23","2021-05-06 21:10:19","Atlantic Ave & Furman St",4614.04,"Congress St & Hicks St",4497.09,40.691651,-73.999978,40.6893952,-73.9995126,"member"
"379","14646E12938C1999","docked_bike","2021-05-06 21:57:31","2021-05-06 22:14:33","Bergen St & Flatbush Ave",4281.08,"Bushwick Ave & Harman St",4640.01,40.680944,-73.975673,40.69356,-73.92524,"member"
"102","FEBF60F7F8BFDDF6","docked_bike","2021-05-06 22:54:31","2021-05-06 22:59:37","E 78 St & 2 Ave",7057.07,"E 88 St & 1 Ave",7235.13,40.772796,-73.955778,40.778301,-73.9488134,"member"
"482","80E9EBA0C075F944","docked_bike","2021-05-07 07:20:26","2021-05-07 08:04:24","2 Ave & E 55 St",6650.08,"Little West St & 1 Pl",5001.08,40.75792,-73.966382,40.70569254,-74.01677685,"member"
"104","FBFB620F12E128F4","docked_bike","2021-05-07 08:34:42","2021-05-07 08:49:20","E 15 St & 3 Ave",5863.07,"E 12 St & Ave C",5616.08,40.734232,-73.986923,40.727243,-73.976831,"member"
"352","7B1344B57DAA4E54","docked_bike","2021-05-07 10:51:56","2021-05-07 10:56:42","S 4 St & Wythe Ave",5204.05,"S 4 St & Rodney St",5156.05,40.712858,-73.965902,40.70934,-73.95608,"member"
"64","1750A5409CD99490","docked_bike","2021-05-07 11:26:16","2021-05-07 11:30:40","28 St & 36 Ave",6614.01,"Queens Plaza North & Crescent St",6429.01,40.757186,-73.932719,40.75110165,-73.94073717,"member"
"156","6D8DD6849399FB37","docked_bike","2021-05-07 11:57:45","2021-05-07 12:22:21","Union St & Bedford Ave",3879.04,"N 6 St & Bedford Ave",5379.1,40.669178,-73.955416,40.71745169,-73.95850939,"member"
"283","EE1EF27DA428204F","docked_bike","2021-05-07 12:30:58","2021-05-07 13:05:21","W 110 St & Amsterdam Ave",7646.04,"Amsterdam Ave & W 82 St",7360.1,40.802692,-73.96295,40.78524672,-73.97667321,"casual"
"50","103FA643436F9322","docked_bike","2021-05-07 14:25:37","2021-05-07 14:34:57","W 52 St & 6 Ave",6740.01,"Broadway & W 36 St",6441.01,40.761329,-73.97982,40.75097711,-73.98765428,"casual"
"304","DBAC7619379838B4","docked_bike","2021-05-07 14:37:17","2021-05-07 14:44:22","Tinton Ave & E 165 St",7991.01,"Prospect Ave & Jennings St",8099.04,40.824796,-73.90242,40.831762,-73.896853,"member"
"150","D0DA5293AD750176","docked_bike","2021-05-07 14:48:52","2021-05-07 15:15:05","12 Ave & W 125 St",7886.02,"Edgecombe Ave & W 150 St",8049.05,40.818299,-73.960405,40.826881,-73.941427,"member"
"161","D35619BAEFE564B9","docked_bike","2021-05-07 15:17:22","2021-05-07 15:24:06","E 25 St & 2 Ave",6046.02,"W 27 St & 7 Ave",6247.06,40.739126,-73.979737,40.746647,-73.993915,"member"
"138","EE0D36462D6B4E2C","docked_bike","2021-05-07 15:25:09","2021-05-07 15:38:54","Carroll St & 6 Ave",4019.06,"23 St & 3 Ave",3707.01,40.674088,-73.978728,40.662611,-73.998623,"member"
"431","3F00DB12BB77FAAE","docked_bike","2021-05-07 15:39:22","2021-05-07 15:59:05","Nassau Ave & Russell St",5581.01,"Wythe Ave & Metropolitan Ave",5348.02,40.72557,-73.94434,40.716887,-73.963198,"member"
